year,age,mortality_sex_ratio
1911,40,1.28854
1911,41,1.27926
1911,42,1.17414
1911,43,1.30874
1911,44,1.21630
1911,45,1.26960
1911,46,1.26814
1911,47,1.29845
1911,48,1.23640
1911,49,1.27394
1911,50,1.32931
1911,51,1.21746
1911,52,1.35264
1911,53,1.31274
1911,54,1.35751
1911,55,1.32712
1911,56,1.24843
1911,57,1.26079
1911,58,1.27563
1911,59,1.34687
1911,60,1.39814
1911,61,1.28260
1911,62,1.23864
1911,63,1.31226
1911,64,1.28607
1911,65,1.36624
1911,66,1.32253
1911,67,1.30841
1911,68,1.28620
1911,69,1.32926
1911,70,1.20045
1911,71,1.19924
1911,72,1.22807
1911,73,1.18443
1911,74,1.25408
1911,75,1.22912
1911,76,1.18644
1911,77,1.22821
1911,78,1.16236
1911,79,1.22571
1911,80,1.15552
1911,81,1.17659
1911,82,1.16001
1911,83,1.15012
1911,84,1.17849
1911,85,1.22820
1911,86,1.25809
1911,87,1.19479
1911,88,1.21861
1911,89,1.27115
1911,90,1.22977
1911,91,1.08919
1911,92,1.14935
1911,93,1.38756
1911,94,1.11754
1911,95,1.10908
1911,96,1.20318
1911,97,0.87012
1911,98,0.90925
1911,99,0.81359
1911,100,1.93327
1912,0,1.28351
1912,1,1.06845
1912,2,0.98474
1912,3,1.02605
1912,4,1.00476
1912,5,0.96568
1912,6,1.04920
1912,7,0.94635
1912,8,1.05002
1912,9,1.05949
1912,10,1.03048
1912,11,1.03116
1912,12,0.92397
1912,13,0.83889
1912,14,0.85312
1912,15,0.91890
1912,16,0.99467
1912,17,1.11263
1912,18,1.07315
1912,19,1.14870
1912,20,1.16179
1912,21,1.16227
1912,22,1.14091
1912,23,1.12358
1912,24,1.07826
1912,25,1.19325
1912,26,1.19239
1912,27,1.14129
1912,28,1.24695
1912,29,1.08443
1912,30,1.17211
1912,31,1.18785
1912,32,1.21422
1912,33,1.16948
1912,34,1.23872
1912,35,1.25961
1912,36,1.26100
1912,37,1.16832
1912,38,1.19052
1912,39,1.16269
1912,40,1.34388
1912,41,1.32674
1912,42,1.24006
1912,43,1.22587
1912,44,1.25232
1912,45,1.33540
1912,46,1.31470
1912,47,1.34032
1912,48,1.24677
1912,49,1.28114
1912,50,1.39996
1912,51,1.33164
1912,52,1.25278
1912,53,1.27326
1912,54,1.34251
1912,55,1.34422
1912,56,1.31779
1912,57,1.26827
1912,58,1.33293
1912,59,1.34007
1912,60,1.33813
1912,61,1.37790
1912,62,1.31691
1912,63,1.30935
1912,64,1.30702
1912,65,1.31229
1912,66,1.27755
1912,67,1.23508
1912,68,1.25822
1912,69,1.30678
1912,70,1.20646
1912,71,1.24735
1912,72,1.21090
1912,73,1.21519
1912,74,1.25469
1912,75,1.22625
1912,76,1.22499
1912,77,1.14002
1912,78,1.17908
1912,79,1.18457
1912,80,1.16607
1912,81,1.20013
1912,82,1.17569
1912,83,1.18105
1912,84,1.25541
1912,85,1.13571
1912,86,1.15466
1912,87,1.17243
1912,88,1.12941
1912,89,1.04678
1912,90,1.21615
1912,91,1.23636
1912,92,1.08908
1912,93,1.22882
1912,94,1.13020
1912,95,1.07676
1912,96,1.13900
1912,97,1.09499
1912,98,1.13538
1912,99,1.40346
1912,100,2.06775
1913,0,1.26591
1913,1,1.10965
1913,2,1.07139
1913,3,1.02702
1913,4,1.01301
1913,5,1.00000
1913,6,0.97739
1913,7,1.03358
1913,8,1.09362
1913,9,1.00604
1913,10,1.05066
1913,11,1.10210
1913,12,0.90486
1913,13,0.94555
1913,14,0.85684
1913,15,0.98304
1913,16,1.03078
1913,17,0.99890
1913,18,1.25212
1913,19,1.11931
1913,20,1.14847
1913,21,1.19948
1913,22,1.03244
1913,23,1.16883
1913,24,1.09781
1913,25,1.22066
1913,26,1.20054
1913,27,1.12910
1913,28,1.10940
1913,29,1.23695
1913,30,1.21749
1913,31,1.15995
1913,32,1.18834
1913,33,1.27536
1913,34,1.22757
1913,35,1.25754
1913,36,1.19996
1913,37,1.30696
1913,38,1.24943
1913,39,1.18103
1913,40,1.26930
1913,41,1.20097
1913,42,1.28043
1913,43,1.21241
1913,44,1.24491
1913,45,1.35716
1913,46,1.25932
1913,47,1.17934
1913,48,1.31284
1913,49,1.34262
1913,50,1.37897
1913,51,1.34545
1913,52,1.25892
1913,53,1.33896
1913,54,1.24919
1913,55,1.31461
1913,56,1.33170
1913,57,1.34236
1913,58,1.27496
1913,59,1.39213
1913,60,1.40389
1913,61,1.41048
1913,62,1.39035
1913,63,1.27781
1913,64,1.32744
1913,65,1.34946
1913,66,1.33253
1913,67,1.31646
1913,68,1.24828
1913,69,1.30282
1913,70,1.24951
1913,71,1.18015
1913,72,1.23673
1913,73,1.26069
1913,74,1.25904
1913,75,1.32830
1913,76,1.23500
1913,77,1.19767
1913,78,1.18647
1913,79,1.21754
1913,80,1.20980
1913,81,1.22159
1913,82,1.25474
1913,83,1.22048
1913,84,1.22395
1913,85,1.21721
1913,86,1.28233
1913,87,1.18657
1913,88,1.19304
1913,89,1.09078
1913,90,1.05597
1913,91,1.24489
1913,92,1.05968
1913,93,1.12648
1913,94,0.97389
1913,95,1.31053
1913,96,1.29947
1913,97,1.50258
1913,98,1.23079
1913,99,1.10915
1913,100,1.22658
1914,0,1.26769
1914,1,1.08065
1914,2,1.04288
1914,3,1.00036
1914,4,0.98365
1914,5,0.97772
1914,6,1.04364
1914,7,0.96419
1914,8,1.04557
1914,9,1.06473
1914,10,0.97209
1914,11,0.94910
1914,12,0.95227
1914,13,0.97736
1914,14,0.89073
1914,15,1.11072
1914,16,1.47955
1914,17,3.10436
1914,18,4.16344
1914,19,4.29135
1914,20,4.11684
1914,21,3.82602
1914,22,3.57235
1914,23,3.42897
1914,24,3.10818
1914,25,2.92061
1914,26,2.91197
1914,27,2.45761
1914,28,2.18131
1914,29,2.02002
1914,30,1.96326
1914,31,1.81140
1914,32,1.73662
1914,33,1.68069
1914,34,1.59996
1914,35,1.53586
1914,36,1.51804
1914,37,1.46731
1914,38,1.41090
1914,39,1.30760
1914,40,1.39537
1914,41,1.40442
1914,42,1.28487
1914,43,1.26826
1914,44,1.29156
1914,45,1.30816
1914,46,1.27728
1914,47,1.31429
1914,48,1.28346
1914,49,1.30143
1914,50,1.42929
1914,51,1.30504
1914,52,1.22724
1914,53,1.30816
1914,54,1.31155
1914,55,1.39165
1914,56,1.35345
1914,57,1.37019
1914,58,1.30156
1914,59,1.36364
